1	google	gemini-2.5-flash
2	openai	gpt-4o
3	anthropic	claude-opus-4-1-20250805
4	google	gemini-2.5-flash
5	openai	gpt-4o
6	anthropic	claude-opus-4-1-20250805
7	google	gemini-2.5-flash
8	openai	gpt-4o
9	anthropic	claude-opus-4-1-20250805
10	google	gemini-2.5-flash
11	openai	gpt-4o
12	anthropic	claude-opus-4-1-20250805
13	google	gemini-2.5-flash
14	openai	gpt-4o
15	anthropic	claude-opus-4-1-20250805
16	google	gemini-2.5-flash
17	openai	gpt-4o
18	anthropic	claude-opus-4-1-20250805
19	google	gemini-2.5-flash
20	openai	gpt-4o
21	anthropic	claude-opus-4-1-20250805
22	google	gemini-2.5-flash
23	openai	gpt-4o
24	anthropic	claude-opus-4-1-20250805
25	google	gemini-2.5-flash
26	openai	gpt-4o
27	anthropic	claude-opus-4-1-20250805
28	google	gemini-2.5-flash
29	openai	gpt-4o
30	anthropic	claude-opus-4-1-20250805
31	google	gemini-2.5-flash
32	openai	gpt-4o
33	anthropic	claude-opus-4-1-20250805
34	google	gemini-2.5-flash
35	openai	gpt-4o
36	anthropic	claude-opus-4-1-20250805
37	google	gemini-2.5-flash
38	openai	gpt-4o
39	anthropic	claude-opus-4-1-20250805
40	google	gemini-2.5-flash
41	openai	gpt-4o
42	anthropic	claude-opus-4-1-20250805
43	google	gemini-2.5-flash
44	openai	gpt-4o
45	anthropic	claude-opus-4-1-20250805
46	google	gemini-2.5-flash
47	openai	gpt-4o
48	anthropic	claude-opus-4-1-20250805
49	google	gemini-2.5-flash
50	openai	gpt-4o
51	anthropic	claude-opus-4-1-20250805
52	google	gemini-2.5-flash
53	openai	gpt-4o
54	anthropic	claude-opus-4-1-20250805
55	google	gemini-2.5-flash
56	openai	gpt-4o
57	anthropic	claude-opus-4-1-20250805
58	google	gemini-2.5-flash
59	openai	gpt-4o
60	anthropic	claude-opus-4-1-20250805
61	google	gemini-2.5-flash
62	openai	gpt-4o
63	anthropic	claude-opus-4-1-20250805
64	google	gemini-2.5-flash
65	openai	gpt-4o
66	anthropic	claude-opus-4-1-20250805
67	google	gemini-2.5-flash
68	openai	gpt-4o
69	anthropic	claude-opus-4-1-20250805
70	google	gemini-2.5-flash
71	openai	gpt-4o
72	anthropic	claude-opus-4-1-20250805
73	google	gemini-2.5-flash
74	openai	gpt-4o
75	anthropic	claude-opus-4-1-20250805
76	google	gemini-2.5-flash
77	openai	gpt-4o
78	anthropic	claude-opus-4-1-20250805
79	google	gemini-2.5-flash
80	openai	gpt-4o
81	anthropic	claude-opus-4-1-20250805
82	google	gemini-2.5-flash
83	openai	gpt-4o
84	anthropic	claude-opus-4-1-20250805
85	google	gemini-2.5-flash
86	openai	gpt-4o
87	anthropic	claude-opus-4-1-20250805
88	google	gemini-2.5-flash
89	openai	gpt-4o
90	anthropic	claude-opus-4-1-20250805
91	google	gemini-2.5-flash
92	openai	gpt-4o
93	anthropic	claude-opus-4-1-20250805
94	google	gemini-2.5-flash
95	openai	gpt-4o
96	anthropic	claude-opus-4-1-20250805
97	google	gemini-2.5-flash
98	openai	gpt-4o
99	anthropic	claude-opus-4-1-20250805
100	google	gemini-2.5-flash
101	openai	gpt-4o
102	anthropic	claude-opus-4-1-20250805
103	google	gemini-2.5-flash
104	openai	gpt-4o
105	anthropic	claude-opus-4-1-20250805
106	google	gemini-2.5-flash
107	openai	gpt-4o
108	anthropic	claude-opus-4-1-20250805
109	google	gemini-2.5-flash
110	openai	gpt-4o
111	anthropic	claude-opus-4-1-20250805
112	google	gemini-2.5-flash
113	openai	gpt-4o
114	anthropic	claude-opus-4-1-20250805
115	google	gemini-2.5-flash
116	openai	gpt-4o
117	anthropic	claude-opus-4-1-20250805
118	google	gemini-2.5-flash
119	openai	gpt-4o
120	anthropic	claude-opus-4-1-20250805
121	google	gemini-2.5-flash
122	openai	gpt-4o
123	anthropic	claude-opus-4-1-20250805
124	google	gemini-2.5-flash
125	openai	gpt-4o
126	anthropic	claude-opus-4-1-20250805
127	google	gemini-2.5-flash
128	openai	gpt-4o
129	anthropic	claude-opus-4-1-20250805
130	google	gemini-2.5-flash
131	openai	gpt-4o
132	anthropic	claude-opus-4-1-20250805
